07-04-2026 13:04:04 | DELETE | cafeteria-api/produtos/49
07-04-2026 13:04:04 | GET | cafeteria-api/produtos
07-04-2026 13:04:08 | OPTIONS | cafeteria-api/produtos/48
07-04-2026 13:04:08 | DELETE | cafeteria-api/produtos/48
07-04-2026 13:04:08 | GET | cafeteria-api/produtos
07-04-2026 13:12:21 | GET | cafeteria-api/produtos
07-04-2026 13:12:22 | GET | cafeteria-api/categorias
07-04-2026 13:12:22 | GET | cafeteria-api/produtos
07-04-2026 13:12:27 | GET | cafeteria-api/categorias
07-04-2026 13:12:28 | GET | cafeteria-api/produtos
07-04-2026 13:12:31 | GET | cafeteria-api/produtos
07-04-2026 13:17:50 | GET | cafeteria-api/produtos
07-04-2026 13:17:50 | GET | cafeteria-api/produtos
07-04-2026 13:17:50 | GET | cafeteria-api/produtos
07-04-2026 13:19:07 | GET | cafeteria-api/produtos
07-04-2026 13:19:07 | GET | cafeteria-api/produtos
07-04-2026 13:19:07 | GET | cafeteria-api/produtos
07-04-2026 13:19:08 | GET | cafeteria-api/produtos
07-04-2026 13:19:16 | GET | cafeteria-api/produtos
07-04-2026 13:19:16 | GET | cafeteria-api/produtos
07-04-2026 13:19:19 | GET | cafeteria-api/produtos
07-04-2026 13:19:20 | GET | cafeteria-api/categorias
07-04-2026 13:19:20 | GET | cafeteria-api/produtos
07-04-2026 13:19:22 | GET | cafeteria-api/categorias
07-04-2026 13:19:28 | GET | cafeteria-api/categorias
07-04-2026 13:19:28 | GET | cafeteria-api/produtos
07-04-2026 13:19:30 | GET | cafeteria-api/categorias
07-04-2026 13:19:39 | GET | cafeteria-api/categorias
07-04-2026 13:19:39 | GET | cafeteria-api/categorias
07-04-2026 13:19:39 | GET | cafeteria-api/categorias
07-04-2026 13:19:46 | GET | cafeteria-api/categorias
07-04-2026 13:19:47 | GET | cafeteria-api/categorias
07-04-2026 13:19:47 | GET | cafeteria-api/categorias
07-04-2026 13:19:47 | GET | cafeteria-api/categorias
07-04-2026 13:19:47 | GET | cafeteria-api/categorias
07-04-2026 13:20:58 | GET | cafeteria-api/produtos
07-04-2026 13:20:58 | GET | cafeteria-api/categorias
07-04-2026 13:20:59 | GET | cafeteria-api/categorias
07-04-2026 13:21:00 | GET | cafeteria-api/produtos
07-04-2026 13:21:24 | GET | cafeteria-api/produtos
07-04-2026 13:21:25 | GET | cafeteria-api/categorias
07-04-2026 13:21:25 | GET | cafeteria-api/produtos
07-04-2026 13:26:45 | GET | cafeteria-api/produtos
07-04-2026 13:26:45 | GET | cafeteria-api/produtos
07-04-2026 13:27:10 | OPTIONS | cafeteria-api/produtos
07-04-2026 13:27:10 | POST | cafeteria-api/produtos
07-04-2026 13:27:10 | GET | cafeteria-api/produtos
07-04-2026 13:28:18 | OPTIONS | cafeteria-api/produtos
07-04-2026 13:28:18 | POST | cafeteria-api/produtos
07-04-2026 13:28:18 | GET | cafeteria-api/produtos
07-04-2026 13:34:39 | GET | cafeteria-api/produtos
07-04-2026 13:34:55 | GET | cafeteria-api/produtos
07-04-2026 13:34:57 | GET | cafeteria-api/categorias
07-04-2026 13:34:58 | GET | cafeteria-api/produtos
07-04-2026 13:36:20 | GET | cafeteria-api/produtos
07-04-2026 13:36:28 | GET | cafeteria-api/produtos
07-04-2026 13:36:40 | GET | cafeteria-api/produtos
07-04-2026 13:37:16 | GET | cafeteria-api/categorias
07-04-2026 13:37:26 | POST | cafeteria-api/categorias
07-04-2026 13:37:26 | GET | cafeteria-api/categorias
07-04-2026 13:37:27 | GET | cafeteria-api/produtos
